category,comparison,mean_delta,metric,n_pairs,random_control_count,random_delta_max,random_delta_min,random_delta_std,seed,target_worse_than_random_count
AUX,original_minus_identity_shuffle,0.09166666666666666,top1_lemma_accuracy,600,,,,,2028,
AUX,identity_shuffle_minus_target,0.028333333333333332,top1_lemma_accuracy,600,,,,,2028,
AUX,target_minus_r01,-0.07833333333333334,top1_lemma_accuracy,600,,,,,2028,
AUX,target_minus_r02,-0.1,top1_lemma_accuracy,600,,,,,2028,
AUX,target_minus_random_mean,-0.08916666666666667,top1_lemma_accuracy,600,2,-0.07833333333333334,-0.1,0.010833333333333334,2028,2
AUX,original_minus_target,0.08333333333333333,top3_lemma_accuracy,600,,,,,2028,
AUX,original_minus_identity_shuffle,0.08166666666666667,top3_lemma_accuracy,600,,,,,2028,
AUX,identity_shuffle_minus_target,0.0016666666666666668,top3_lemma_accuracy,600,,,,,2028,
AUX,target_minus_r01,-0.04666666666666667,top3_lemma_accuracy,600,,,,,2028,
AUX,target_minus_r02,-0.06,top3_lemma_accuracy,600,,,,,2028,
AUX,target_minus_random_mean,-0.05333333333333333,top3_lemma_accuracy,600,2,-0.04666666666666667,-0.06,0.0066666666666666645,2028,2
AUX,original_minus_target,0.085,top5_lemma_accuracy,600,,,,,2028,
AUX,original_minus_identity_shuffle,0.08166666666666667,top5_lemma_accuracy,600,,,,,2028,
AUX,identity_shuffle_minus_target,0.0033333333333333335,top5_lemma_accuracy,600,,,,,2028,
AUX,target_minus_r01,-0.058333333333333334,top5_lemma_accuracy,600,,,,,2028,
AUX,target_minus_r02,-0.058333333333333334,top5_lemma_accuracy,600,,,,,2028,
AUX,target_minus_random_mean,-0.058333333333333334,top5_lemma_accuracy,600,2,-0.058333333333333334,-0.058333333333333334,0.0,2028,2
